"Bite","EstimatedTime_procNoise","CumulativeGrams_procNoise","BiteGrams_procNoise","r","theta"
1,3.75981968014527,1.73029800540649,1.73029800540649,"r = 0","t = 0.46"
2,8.95512050354908,4.07553033903935,2.34523233363286,"r = 0","t = 0.46"
3,13.3898951793245,6.03631270660663,1.96078236756728,"r = 0","t = 0.46"
4,17.6556100641609,7.88730447839471,1.85099177178808,"r = 0","t = 0.46"
5,22.7210322895533,10.0415529304777,2.15424845208295,"r = 0","t = 0.46"
6,27.3478567238051,11.9685837154951,1.92703078501739,"r = 0","t = 0.46"
7,31.2461157501369,13.5626036996498,1.59401998415471,"r = 0","t = 0.46"
8,35.7123655599927,15.3562529438546,1.79364924420484,"r = 0","t = 0.46"
9,41.6963129211984,17.7059128160389,2.34965987218425,"r = 0","t = 0.46"
10,47.1306971964909,19.7878929283165,2.08198011227765,"r = 0","t = 0.46"
11,51.2029470617665,21.3163631199077,1.52847019159116,"r = 0","t = 0.46"
12,57.6120891130546,23.668263282119,2.35190016221137,"r = 0","t = 0.46"
13,62.0818808831553,25.2704577471348,1.60219446501576,"r = 0","t = 0.46"
14,68.5127671471213,27.5221116884911,2.25165394135632,"r = 0","t = 0.46"
15,72.9416416743315,29.0368962658298,1.5147845773387,"r = 0","t = 0.46"
16,78.6740770143649,30.9550744319518,1.91817816612192,"r = 0","t = 0.46"
17,86.4451247538762,33.4808675413098,2.52579310935803,"r = 0","t = 0.46"
18,91.5164034022175,35.0841206566962,1.60325311538645,"r = 0","t = 0.46"
19,98.7947976566778,37.3247428003194,2.24062214362316,"r = 0","t = 0.46"
20,103.877231332646,38.8481796576125,1.52343685729311,"r = 0","t = 0.46"
21,112.821041585832,41.449317245859,2.60113758824647,"r = 0","t = 0.46"
22,117.978262785314,42.9042346427422,1.45491739688322,"r = 0","t = 0.46"
23,125.844293518868,45.0619730585634,2.1577384158212,"r = 0","t = 0.46"
24,134.128730829924,47.2567466039857,2.19477354542234,"r = 0","t = 0.46"
25,139.526670090016,48.6452057589667,1.38845915498094,"r = 0","t = 0.46"
26,147.863294403679,50.727066912909,2.08186115394227,"r = 0","t = 0.46"
27,158.206514044395,53.2081617511303,2.48109483822131,"r = 0","t = 0.46"
28,165.385345718616,54.8662973889656,1.65813563783534,"r = 0","t = 0.46"
29,172.386420956709,56.4346948467969,1.56839745783129,"r = 0","t = 0.46"
30,183.223732567742,58.7710407571139,2.33634591031701,"r = 0","t = 0.46"
31,192.21317771911,60.6278871824318,1.85684642531791,"r = 0","t = 0.46"
32,201.029531747315,62.3804063393169,1.75251915688508,"r = 0","t = 0.46"
33,214.427647910415,64.9193693721928,2.53896303287588,"r = 0","t = 0.46"
34,222.181603546746,66.3231362491164,1.4037668769236,"r = 0","t = 0.46"
35,235.837910513149,68.6841849030419,2.36104865392551,"r = 0","t = 0.46"
36,244.89139756829,70.1745524233898,1.49036752034792,"r = 0","t = 0.46"
37,260.580531436707,72.6234447294035,2.44889230601372,"r = 0","t = 0.46"
38,269.850573776771,73.9944333538987,1.3709886244952,"r = 0","t = 0.46"
39,287.825816527193,76.5017078440919,2.50727449019321,"r = 0","t = 0.46"
40,303.544811669527,78.5405546139452,2.03884676985325,"r = 0","t = 0.46"
41,317.915432841044,80.2873993535133,1.74684473956815,"r = 0","t = 0.46"
42,336.653526613408,82.4084897134235,2.12109035991014,"r = 0","t = 0.46"
43,351.798769750149,84.0019832651925,1.59349355176906,"r = 0","t = 0.46"
44,372.387743201777,86.0079455442485,2.00596227905594,"r = 0","t = 0.46"
45,398.766877016045,88.3310695947825,2.32312405053408,"r = 0","t = 0.46"
46,420.179985598796,90.0319456239151,1.7008760291326,"r = 0","t = 0.46"
47,449.413768610176,92.1145161922092,2.08257056829402,"r = 0","t = 0.46"
48,479.233017429775,93.9849506210246,1.87043442881549,"r = 0","t = 0.46"
49,521.30086577656,96.2464545930527,2.26150397202811,"r = 0","t = 0.46"
50,549.753553031526,97.5593559932954,1.31290140024269,"r = 0","t = 0.46"
51,616.818399785784,100.085321841617,2.52596584832177,"r = 0","t = 0.46"
52,679.077746292528,101.858963180374,1.77364133875697,"r = 0","t = 0.46"
53,787.904569691898,104.016277101201,2.1573139208264,"r = 0","t = 0.46"
54,977.070312848984,106.025630845829,2.0093537446286,"r = 0","t = 0.46"
55,2136.48525830388,107.609238,1.58360715417082,"r = 0","t = 0.46"
1,3.86581904453884,2.01767961864241,2.01767961864241,"r = 0.06","t = 0.46"
2,6.33715246554226,3.5676602386287,1.54998061998629,"r = 0.06","t = 0.46"
3,9.18118263689157,5.6387042450683,2.0710440064396,"r = 0.06","t = 0.46"
4,11.6975763570225,7.75493023792739,2.11622599285909,"r = 0.06","t = 0.46"
5,13.5471056205542,9.4944700327922,1.73953979486481,"r = 0.06","t = 0.46"
6,15.4202237856178,11.4246771368034,1.93020710401118,"r = 0.06","t = 0.46"
7,17.289641342578,13.5271709602336,2.10249382343025,"r = 0.06","t = 0.46"
8,18.9663109911514,15.5668736018891,2.03970264165544,"r = 0.06","t = 0.46"
9,20.4142435892118,17.4473104589046,1.88043685701557,"r = 0.06","t = 0.46"
10,21.7341388596079,19.2579082791389,1.81059782023423,"r = 0.06","t = 0.46"
11,23.142575738192,21.2907604576051,2.03285217846625,"r = 0.06","t = 0.46"
12,24.4192662707051,23.2219415468115,1.93118108920635,"r = 0.06","t = 0.46"
13,25.8137822561628,25.4248694638195,2.20292791700803,"r = 0.06","t = 0.46"
14,26.7941401328326,27.0299544573409,1.60508499352143,"r = 0.06","t = 0.46"
15,28.1381976234935,29.3025988587373,2.27264440139637,"r = 0.06","t = 0.46"
16,29.1569420026346,31.0777032072187,1.77510434848138,"r = 0.06","t = 0.46"
17,30.3762223194634,33.2574902413491,2.17978703413041,"r = 0.06","t = 0.46"
18,31.4500544896702,35.2230290493063,1.96553880795717,"r = 0.06","t = 0.46"
19,32.4914446894483,37.1660464649236,1.94301741561734,"r = 0.06","t = 0.46"
20,33.5093584687193,39.0963377255523,1.93029126062871,"r = 0.06","t = 0.46"
21,34.5869398502536,41.168614281242,2.07227655568973,"r = 0.06","t = 0.46"
22,35.3607714906666,42.6722035805061,1.50358929926411,"r = 0.06","t = 0.46"
23,36.5723426410025,45.0469265540603,2.37472297355414,"r = 0.06","t = 0.46"
24,37.6592285056604,47.1928575659818,2.14593101192148,"r = 0.06","t = 0.46"
25,38.4257030519586,48.711678226337,1.51882066035525,"r = 0.06","t = 0.46"
26,39.4741271390829,50.7922371541587,2.08055892782168,"r = 0.06","t = 0.46"
27,40.6072494204012,53.0390609504894,2.24682379633069,"r = 0.06","t = 0.46"
28,41.6634453811356,55.1257554993447,2.08669454885528,"r = 0.06","t = 0.46"
29,42.4487693524011,56.6692012841563,1.5434457848116,"r = 0.06","t = 0.46"
30,43.574437399707,58.8646565018611,2.19545521770485,"r = 0.06","t = 0.46"
31,44.372346162102,60.4057497042423,1.54109320238115,"r = 0.06","t = 0.46"
32,45.3454640248331,62.264734923159,1.85898521891676,"r = 0.06","t = 0.46"
33,46.6857380216386,64.7817484868951,2.51701356373608,"r = 0.06","t = 0.46"
34,47.7059301011453,66.6589391231413,1.87719063624623,"r = 0.06","t = 0.46"
35,48.7858956652634,68.605157845044,1.94621872190267,"r = 0.06","t = 0.46"
36,49.7311272786066,70.2709655937219,1.66580774867789,"r = 0.06","t = 0.46"
37,51.0366196869998,72.5094154274025,2.23844983368062,"r = 0.06","t = 0.46"
38,52.1785067300515,74.4043193145018,1.89490388709933,"r = 0.06","t = 0.46"
39,53.1520092807884,75.9709548219856,1.56663550748371,"r = 0.06","t = 0.46"
40,54.6560115034256,78.299257168145,2.32830234615946,"r = 0.06","t = 0.46"
41,56.1493689549747,80.4968842681011,2.19762709995612,"r = 0.06","t = 0.46"
42,57.3855100895875,82.227973686379,1.73108941827782,"r = 0.06","t = 0.46"
43,58.9956376550941,84.3619572590434,2.13398357266442,"r = 0.06","t = 0.46"
44,60.2110451069446,85.8822117091566,1.52025445011326,"r = 0.06","t = 0.46"
45,62.2645539886603,88.275596290373,2.39338458121637,"r = 0.06","t = 0.46"
46,63.7095057678049,89.8304340680609,1.55483777768791,"r = 0.06","t = 0.46"
47,65.7058094211493,91.8088659735771,1.97843190551617,"r = 0.06","t = 0.46"
48,68.3950164280724,94.1784144863942,2.3695485128171,"r = 0.06","t = 0.46"
49,70.4517237548146,95.7770160402429,1.59860155384868,"r = 0.06","t = 0.46"
50,73.6016310547762,97.8993393848803,2.12232334463739,"r = 0.06","t = 0.46"
51,77.5729872368737,100.080968933334,2.18162954845347,"r = 0.06","t = 0.46"
52,80.9160183337583,101.55522487176,1.47425593842634,"r = 0.06","t = 0.46"
53,86.8686466882554,103.529256031273,1.97403115951337,"r = 0.06","t = 0.46"
54,98.8427157546184,105.796584424704,2.2673283934302,"r = 0.06","t = 0.46"
55,129.303141658409,107.395145656662,1.59856123195841,"r = 0.06","t = 0.46"
1,3.39738088312205,2.13297887580351,2.13297887580351,"r = 0.14","t = 0.46"
2,4.96876691203316,3.60831672767872,1.47533785187521,"r = 0.14","t = 0.46"
3,6.82474086741546,5.90132579911145,2.29300907143273,"r = 0.14","t = 0.46"
4,7.84510765849776,7.47014859705689,1.56882279794545,"r = 0.14","t = 0.46"
5,9.14736671412253,9.84608949430626,2.37594089724936,"r = 0.14","t = 0.46"
6,10.0126184803912,11.6829863730654,1.83689687875912,"r = 0.14","t = 0.46"
7,10.8745296394105,13.7366076212666,2.05362124820121,"r = 0.14","t = 0.46"
8,11.5555007372588,15.5263455547018,1.78973793343522,"r = 0.14","t = 0.46"
9,12.1875432390775,17.3250131272045,1.79866757250273,"r = 0.14","t = 0.46"
10,12.8223895841503,19.2683926883221,1.9433795611176,"r = 0.14","t = 0.46"
11,13.569362585216,21.7330412946977,2.46464860637553,"r = 0.14","t = 0.46"
12,14.1314743423288,23.7148282856631,1.98178699096546,"r = 0.14","t = 0.46"
13,14.5597867878716,25.2973913653693,1.58256307970614,"r = 0.14","t = 0.46"
14,15.0073644052111,27.0168873855213,1.71949602015198,"r = 0.14","t = 0.46"
15,15.6439613108182,29.5747414301344,2.55785404461317,"r = 0.14","t = 0.46"
16,16.1165513316955,31.5550476999671,1.98030626983264,"r = 0.14","t = 0.46"
17,16.5765466921343,33.5452689930875,1.99022129312039,"r = 0.14","t = 0.46"
18,16.9378047229023,35.1489343205719,1.60366532748446,"r = 0.14","t = 0.46"
19,17.413332299695,37.3101587886231,2.1612244680512,"r = 0.14","t = 0.46"
20,17.7274388509251,38.7664997149208,1.45634092629769,"r = 0.14","t = 0.46"
21,18.2169518591901,41.0766821179476,2.31018240302682,"r = 0.14","t = 0.46"
22,18.6476132866952,43.1446802184936,2.06799810054594,"r = 0.14","t = 0.46"
23,19.0243193009262,44.9763001686248,1.83161995013126,"r = 0.14","t = 0.46"
24,19.4002010706461,46.8209318140237,1.8446316453989,"r = 0.14","t = 0.46"
25,19.8308365107175,48.9499121397717,2.12898032574795,"r = 0.14","t = 0.46"
26,20.1730836008565,50.6498399248132,1.69992778504149,"r = 0.14","t = 0.46"
27,20.5799136004988,52.6748612105061,2.02502128569292,"r = 0.14","t = 0.46"
28,21.0232713647006,54.8809613900765,2.20610017957047,"r = 0.14","t = 0.46"
29,21.4347357434747,56.9216854427039,2.04072405262731,"r = 0.14","t = 0.46"
30,21.7228714525207,58.3438398444297,1.42215440172584,"r = 0.14","t = 0.46"
31,22.2441065330732,60.8953497484331,2.55150990400345,"r = 0.14","t = 0.46"
32,22.5820075123836,62.5306568447121,1.63530709627897,"r = 0.14","t = 0.46"
33,23.054875048514,64.7882149877288,2.25755814301663,"r = 0.14","t = 0.46"
34,23.4524296698078,66.653550247696,1.86533525996722,"r = 0.14","t = 0.46"
35,23.8956374553288,68.6927471634517,2.03919691575572,"r = 0.14","t = 0.46"
36,24.3534109987193,70.7491525280235,2.05640536457182,"r = 0.14","t = 0.46"
37,24.6618306784034,72.1036054245503,1.35445289652677,"r = 0.14","t = 0.46"
38,25.1831097289334,74.3317899020031,2.22818447745286,"r = 0.14","t = 0.46"
39,25.5882069625192,76.0073079622075,1.67551806020433,"r = 0.14","t = 0.46"
40,26.068715819449,77.9278442948117,1.92053633260423,"r = 0.14","t = 0.46"
41,26.6174717448178,80.0288452306463,2.10100093583458,"r = 0.14","t = 0.46"
42,27.1634158627603,82.0184246173935,1.9895793867472,"r = 0.14","t = 0.46"
43,27.7224395654749,83.9496474444543,1.93122282706082,"r = 0.14","t = 0.46"
44,28.2680029340779,85.7301607843805,1.78051333992623,"r = 0.14","t = 0.46"
45,29.0290585174408,88.0426889646451,2.31252818026462,"r = 0.14","t = 0.46"
46,29.6000416173019,89.648652704285,1.60596373963982,"r = 0.14","t = 0.46"
47,30.4002692926752,91.7187035447175,2.0700508404325,"r = 0.14","t = 0.46"
48,31.213400407831,93.6150977893629,1.89639424464548,"r = 0.14","t = 0.46"
49,32.2987927522821,95.8423151919224,2.22721740255943,"r = 0.14","t = 0.46"
50,33.6026031679134,98.1004853223882,2.25817013046587,"r = 0.14","t = 0.46"
51,34.8078716660236,99.8314982817835,1.73101295939529,"r = 0.14","t = 0.46"
52,36.3255243187502,101.597111362139,1.76561308035507,"r = 0.14","t = 0.46"
53,39.1276902113575,103.909042377987,2.31193101584793,"r = 0.14","t = 0.46"
54,42.2514724153813,105.478309815415,1.56926743742892,"r = 0.14","t = 0.46"
55,71.2118418553192,107.619090743586,2.14078092817098,"r = 0.14","t = 0.46"
1,2.84644760589213,1.90022256508351,1.90022256508351,"r = 0.25","t = 0.46"
2,4.75696430673506,4.11335656866194,2.21313400357843,"r = 0.25","t = 0.46"
3,5.98467845001343,6.13259568272734,2.0192391140654,"r = 0.25","t = 0.46"
4,6.93509105697103,8.10910961941342,1.97651393668608,"r = 0.25","t = 0.46"
5,7.52494151056022,9.54745540667664,1.43834578726323,"r = 0.25","t = 0.46"
6,8.27132702544934,11.6277374821737,2.08028207549707,"r = 0.25","t = 0.46"
7,8.83837122696536,13.4191149110637,1.79137742888995,"r = 0.25","t = 0.46"
