"Bite","EstimatedTime_procNoise","CumulativeGrams_procNoise","BiteGrams_procNoise","r","theta"
1,0.541675651089783,0.251015828589531,0.251015828589531,"r = 0","t = 0.46"
2,0.983193384095556,0.455184700036598,0.204168871447066,"r = 0","t = 0.46"
3,1.60678096291479,0.742886007195137,0.287701307158539,"r = 0","t = 0.46"
4,1.99862396663217,0.923273256113174,0.180387248918037,"r = 0","t = 0.46"
5,2.63896637544869,1.21740360878964,0.294130352676468,"r = 0","t = 0.46"
6,3.14750704487216,1.45041530905065,0.233011700261007,"r = 0","t = 0.46"
7,3.5836407000881,1.64984384046137,0.199428531410726,"r = 0","t = 0.46"
8,4.1162164530413,1.89286399128545,0.243020150824072,"r = 0","t = 0.46"
9,4.5582995920909,2.09416799981738,0.201304008531938,"r = 0","t = 0.46"
10,5.12665353724255,2.35240680655459,0.258238806737209,"r = 0","t = 0.46"
11,5.76501448789481,2.64170075054238,0.289293943987781,"r = 0","t = 0.46"
12,6.26649602353461,2.86840564596293,0.226704895420554,"r = 0","t = 0.46"
13,6.72689290776391,3.07610630908304,0.207700663120108,"r = 0","t = 0.46"
14,7.36183365318069,3.36187418381993,0.285767874736892,"r = 0","t = 0.46"
15,7.86644853906477,3.58842908296913,0.226554899149197,"r = 0","t = 0.46"
16,8.2996892817406,3.78254659965309,0.194117516683968,"r = 0","t = 0.46"
17,8.87266954937009,4.03871951330929,0.256172913656192,"r = 0","t = 0.46"
18,9.33740236483148,4.24603198192613,0.207312468616846,"r = 0","t = 0.46"
19,9.91287766213413,4.50217059386549,0.256138611939358,"r = 0","t = 0.46"
20,10.5599810904469,4.78943222305727,0.28726162919178,"r = 0","t = 0.46"
21,11.0350171037578,4.99980034769837,0.210368124641101,"r = 0","t = 0.46"
22,11.5362249289325,5.22129200510874,0.22149165741037,"r = 0","t = 0.46"
23,12.1793760933227,5.50481049769714,0.283518492588397,"r = 0","t = 0.46"
24,12.5825055178592,5.6821205280258,0.177310030328663,"r = 0","t = 0.46"
25,13.2485883746455,5.97441207011217,0.292291542086372,"r = 0","t = 0.46"
26,13.7520962341318,6.19480583751617,0.220393767403992,"r = 0","t = 0.46"
27,14.1493829750445,6.36836751725436,0.173561679738197,"r = 0","t = 0.46"
28,14.7868957118564,6.64625566865284,0.277888151398481,"r = 0","t = 0.46"
29,15.4094737595775,6.91689777725305,0.27064210860021,"r = 0","t = 0.46"
30,15.9825494073806,7.16537937309578,0.248481595842721,"r = 0","t = 0.46"
31,16.3990579813084,7.34558975243422,0.180210379338446,"r = 0","t = 0.46"
32,16.9194065448029,7.57027431784759,0.224684565413366,"r = 0","t = 0.46"
33,17.5255521463695,7.83137099223362,0.261096674386033,"r = 0","t = 0.46"
34,18.0069632224424,8.03825281518904,0.206881822955418,"r = 0","t = 0.46"
35,18.6824395220331,8.32780941320845,0.289556598019409,"r = 0","t = 0.46"
36,19.2687185527284,8.57844718602896,0.250637772820511,"r = 0","t = 0.46"
37,19.671577824547,8.75030509164184,0.171857905612882,"r = 0","t = 0.46"
38,20.2317374630997,8.98877111928034,0.238466027638497,"r = 0","t = 0.46"
39,20.9727458433218,9.3033429699607,0.314571850680368,"r = 0","t = 0.46"
40,21.4965013955213,9.52508157873599,0.221738608775283,"r = 0","t = 0.46"
41,22.0630940333708,9.76439272553788,0.23931114680189,"r = 0","t = 0.46"
42,22.5924966417931,9.9874683329621,0.223075607424224,"r = 0","t = 0.46"
43,23.1540952855607,10.2235546215349,0.236086288572842,"r = 0","t = 0.46"
44,23.7799230936409,10.4859692412355,0.262414619700605,"r = 0","t = 0.46"
45,24.1590293421695,10.6445875422095,0.158618300973995,"r = 0","t = 0.46"
46,24.8791608580206,10.945178062281,0.300590520071419,"r = 0","t = 0.46"
47,25.344755256226,11.1390259749283,0.193847912647383,"r = 0","t = 0.46"
48,25.8571035968228,11.3518904866982,0.212864511769819,"r = 0","t = 0.46"
49,26.4826102044461,11.6111320960588,0.259241609360645,"r = 0","t = 0.46"
50,27.0330754012338,11.838695172386,0.227563076327177,"r = 0","t = 0.46"
51,27.6048619381998,12.0745014186663,0.235806246280292,"r = 0","t = 0.46"
52,28.1972979795427,12.3182112283119,0.243709809645631,"r = 0","t = 0.46"
53,28.7834692779833,12.5587321016002,0.240520873288247,"r = 0","t = 0.46"
54,29.4802501234494,12.843849342906,0.285117241305851,"r = 0","t = 0.46"
55,29.9931877242251,13.0531927558833,0.209343412977267,"r = 0","t = 0.46"
1,1.23637362493018,0.59554198172215,0.59554198172215,"r = 0.06","t = 0.46"
2,2.55251596008437,1.27981391551796,0.684271933795806,"r = 0.06","t = 0.46"
3,3.59925930211079,1.86329739849898,0.583483482981023,"r = 0.06","t = 0.46"
4,4.32736860316093,2.29071032181724,0.427412923318256,"r = 0.06","t = 0.46"
5,5.50063957362825,3.0183457403859,0.72763541856866,"r = 0.06","t = 0.46"
6,6.44285171231677,3.63893393938383,0.620588198997934,"r = 0.06","t = 0.46"
7,7.26502842035768,4.20796626240147,0.569032323017638,"r = 0.06","t = 0.46"
8,7.9893043244073,4.73121192518839,0.523245662786921,"r = 0.06","t = 0.46"
9,8.75432534472418,5.30693134373915,0.575719418550763,"r = 0.06","t = 0.46"
10,9.42123236065673,5.82865714374386,0.52172580000471,"r = 0.06","t = 0.46"
11,10.1562396512104,6.42563772401035,0.596980580266488,"r = 0.06","t = 0.46"
12,10.9073492239005,7.06010721044894,0.634469486438591,"r = 0.06","t = 0.46"
13,11.5487158727067,7.62186931057173,0.561762100122792,"r = 0.06","t = 0.46"
14,12.3605268189834,8.35994381706866,0.738074506496933,"r = 0.06","t = 0.46"
15,12.8426466856691,8.81283720844215,0.45289339137349,"r = 0.06","t = 0.46"
16,13.4176435470633,9.36741601779746,0.554578809355307,"r = 0.06","t = 0.46"
17,14.1094528836309,10.0557951802123,0.688379162414853,"r = 0.06","t = 0.46"
18,14.7368448982564,10.7003449163469,0.644549736134628,"r = 0.06","t = 0.46"
19,15.1552281829195,11.1410251142796,0.44068019793268,"r = 0.06","t = 0.46"
20,15.8131517833209,11.8517862236922,0.710761109412569,"r = 0.06","t = 0.46"
21,16.3837424587911,12.4859773754908,0.634191151798627,"r = 0.06","t = 0.46"
22,16.8719234872293,13.0418076634176,0.555830287926751,"r = 0.06","t = 0.46"
23,17.466083058058,13.7349028781504,0.693095214732844,"r = 0.06","t = 0.46"
24,17.8284866015235,14.1666558624273,0.431752984276896,"r = 0.06","t = 0.46"
25,18.2767168087374,14.7101459759678,0.543490113540475,"r = 0.06","t = 0.46"
26,18.8596706830646,15.4327528558381,0.722606879870328,"r = 0.06","t = 0.46"
27,19.3061739564102,15.9983149368351,0.565562080996964,"r = 0.06","t = 0.46"
28,19.8171474813161,16.658443626397,0.660128689561896,"r = 0.06","t = 0.46"
29,20.1506343421126,17.0967144626971,0.438270836300138,"r = 0.06","t = 0.46"
30,20.6665805320205,17.7863539059185,0.689639443221424,"r = 0.06","t = 0.46"
31,21.0368003979664,18.2898717978675,0.503517891948963,"r = 0.06","t = 0.46"
32,21.4349278021554,18.8394119098422,0.549540111974736,"r = 0.06","t = 0.46"
33,21.9707433337866,19.5921683783124,0.752756468470132,"r = 0.06","t = 0.46"
34,22.2939311612229,20.0534874856222,0.461319107309837,"r = 0.06","t = 0.46"
35,22.7966020651403,20.7818353110841,0.72834782546192,"r = 0.06","t = 0.46"
36,23.2199607285473,21.405440267479,0.623604956394914,"r = 0.06","t = 0.46"
37,23.5234349354903,21.8581466050371,0.452706337558027,"r = 0.06","t = 0.46"
38,24.0208576021614,22.6103780705033,0.752231465466242,"r = 0.06","t = 0.46"
39,24.3841200589686,23.1676693076359,0.557291237132546,"r = 0.06","t = 0.46"
40,24.6646245868317,23.6025482315437,0.434878923907799,"r = 0.06","t = 0.46"
41,25.0477884099392,24.2029349317854,0.600386700241753,"r = 0.06","t = 0.46"
42,25.4270173844476,24.8043063786752,0.601371446889747,"r = 0.06","t = 0.46"
43,25.8974484099523,25.5600646449406,0.755758266265424,"r = 0.06","t = 0.46"
44,26.2244879875415,26.0917462172381,0.531681572297511,"r = 0.06","t = 0.46"
45,26.612411232063,26.7289954657063,0.637249248468237,"r = 0.06","t = 0.46"
46,26.9620334359745,27.3093636990862,0.580368233379829,"r = 0.06","t = 0.46"
47,27.3244911396663,27.9169855366955,0.607621837609372,"r = 0.06","t = 0.46"
48,27.6561587009448,28.4782097449843,0.561224208288746,"r = 0.06","t = 0.46"
49,28.0391696858871,29.132407728454,0.654197983469736,"r = 0.06","t = 0.46"
50,28.3027401802747,29.5863248052884,0.453917076834401,"r = 0.06","t = 0.46"
51,28.608752153418,30.1170784294547,0.530753624166284,"r = 0.06","t = 0.46"
52,28.9666900014264,30.7429038636774,0.62582543422274,"r = 0.06","t = 0.46"
53,29.3430683188076,31.4066688461793,0.663764982501899,"r = 0.06","t = 0.46"
54,29.7318310110989,32.0982503093402,0.691581463160844,"r = 0.06","t = 0.46"
55,30,32.5787546012787,0.480504291938544,"r = 0.06","t = 0.46"
