"Bite","EstimatedTime_procNoise","CumulativeGrams_procNoise","BiteGrams_procNoise","theta","r"
1,0.0152478327296651,1.02496468791485,1.02496468791485,"t = 70","r = -1.29"
2,0.0392701943932208,2.48292122878746,1.45795654087261,"t = 70","r = -1.29"
3,0.0601722296627854,3.61553282512059,1.13261159633313,"t = 70","r = -1.29"
4,0.0813934455275512,4.65360542356329,1.0380725984427,"t = 70","r = -1.29"
5,0.113961885379371,6.05921978310908,1.40561435954579,"t = 70","r = -1.29"
6,0.141378792591449,7.09278978970061,1.03357000659153,"t = 70","r = -1.29"
7,0.191939208404798,8.70714467225317,1.61435488255256,"t = 70","r = -1.29"
8,0.230613526947402,9.7343389642204,1.02719429196723,"t = 70","r = -1.29"
9,0.287996478831355,10.998725455782,1.26438649156157,"t = 70","r = -1.29"
10,0.341430500968639,11.9549957016649,0.95627024588295,"t = 70","r = -1.29"
11,0.444248444473979,13.3535018466191,1.39850614495416,"t = 70","r = -1.29"
12,0.557622305521554,14.4237853967551,1.07028355013606,"t = 70","r = -1.29"
13,0.82073171799187,15.8197299338921,1.39594453713697,"t = 70","r = -1.29"
14,1.37485463295735,16.7602281447165,0.940498210824362,"t = 70","r = -1.29"
1,0.064615810175034,1.3709899128259,1.3709899128259,"t = 23.03","r = -1.29"
2,0.109922912699566,2.21046351885942,0.839473606033517,"t = 23.03","r = -1.29"
3,0.208495349817896,3.76479134840225,1.55432782954284,"t = 23.03","r = -1.29"
4,0.296798784400292,4.91033605499393,1.14554470659167,"t = 23.03","r = -1.29"
5,0.396732925134241,5.99527443087793,1.084938375884,"t = 23.03","r = -1.29"
6,0.54950056353972,7.33301072287347,1.33773629199554,"t = 23.03","r = -1.29"
7,0.718963752323202,8.49291835230868,1.15990762943522,"t = 23.03","r = -1.29"
8,1.00495121253538,9.94419249849607,1.45127414618738,"t = 23.03","r = -1.29"
9,1.26064644961116,10.8931394493678,0.948946950871763,"t = 23.03","r = -1.29"
10,1.81797013410236,12.3076846558478,1.41454520648,"t = 23.03","r = -1.29"
11,2.59427130162425,13.492476644993,1.18479198914513,"t = 23.03","r = -1.29"
12,3.59598768781588,14.3948108636638,0.902334218670878,"t = 23.03","r = -1.29"
13,8.71346969054778,16.0093287841256,1.61451792046175,"t = 23.03","r = -1.29"
14,80.6331140063448,16.9983,0.988971215874411,"t = 23.03","r = -1.29"
1,0.0174750244232815,1.17543526934021,1.17543526934021,"t = 70","r = -0.5"
2,0.0394038733471841,2.52434194301867,1.34890667367846,"t = 70","r = -0.5"
