"model","initial_nBites","initial_Emax","nBites","Emax","nSim","initial_theta","theta","initial_r","r","min_n2ll","u95CI_theta","u95CI_theta_n2ll","u95CI_theta_chisq","u95CI_theta_chisq.p","l95CI_theta","l95CI_theta_n2ll","l95CI_theta_chisq","l95CI_theta_chisq.p","u95CI_r","u95CI_r_n2ll","u95CI_r_chisq","u95CI_r_chisq.p","l95CI_r","l95CI_r_n2ll","l95CI_r_chisq","l95CI_r_chisq.p","r_CIfit","theta_CIfit"
"FPM_Time",30,600,29,600,1,30,29.6645075276126,0.17,0.173106609810652,71.0958987364492,30.3756701059618,74.9320948058365,3.83619606938733,0.0501571929433531,29.6171425015147,74.9320948058365,3.83619606938733,0.0501571929433531,0.170310195901576,74.9340455808385,3.83814684438931,0.0500988644874576,0.16839804853227,74.9340455808385,3.83814684438931,0.0500988644874576,"Y","Y"
"FPM_Time",30,600,29,600,2,30,29.6425276778587,0.17,0.173192118174192,71.0959011680134,30.3733488430094,74.9194075904669,3.82350642245352,0.0505383713393546,29.6226334651453,74.9194075904669,3.82350642245352,0.0505383713393546,0.169785248663758,74.9342330221574,3.83833185414403,0.0500933363913861,0.168360237553622,74.9342330221574,3.83833185414403,0.0500933363913861,"N","Y"
"FPM_Time",30,600,32,600,3,30,29.906487026959,0.17,0.171777644580764,78.4506467120892,30.5392046026184,82.2978945526751,3.84724784058596,0.0498276890004369,29.4566453966044,82.2978945526751,3.84724784058596,0.0498276890004369,0.170706791383549,82.2917689027943,3.84112219070515,0.0500100391896405,0.166788137988087,82.2917689027943,3.84112219070515,0.0500100391896405,"Y","Y"
"FPM_Time",30,600,34,600,4,30,29.8323183737062,0.17,0.172773863071238,83.3538132421236,30.4043629142371,87.2281310519739,3.87431780985025,0.0490302315804686,29.3926665664374,87.2281310519739,3.87431780985025,0.0490302315804686,0.167598332258659,87.1940534171467,3.84024017502308,0.0500363533142966,0.167597919176073,87.1940534171467,3.84024017502308,0.0500363533142966,"N","Y"
"FPM_Time",30,600,23,600,5,30,29.9008978858155,0.17,0.171812591181429,56.3864025149924,30.5595251124035,60.2346812709168,3.8482787559244,0.0497970695270293,29.437246637672,60.2346812709168,3.8482787559244,0.0497970695270293,0.169674072666864,60.2267613254386,3.84035881044613,0.0500328130844231,0.166961843404511,60.2267613254386,3.84035881044613,0.0500328130844231,"N","Y"
"FPM_Time",30,600,32,600,6,30,29.9313674949412,0.17,0.170821752888625,78.4506515158461,30.2444162345532,82.2831178784155,3.83246636256938,0.0502689115760457,29.6084655881344,82.2831178784155,3.83246636256938,0.0502689115760457,0.173866408449919,82.2910524384572,3.84040092261104,0.0500315564682356,0.173804265381991,82.2910524384572,3.84040092261104,0.0500315564682356,"N","Y"
"FPM_Time",30,600,25,600,7,30,29.6490252312286,0.17,0.173169755920055,61.2895680604024,30.5504759329872,65.137626160426,3.84805810002351,0.0498036216104674,29.4457751967437,65.137626160426,3.84805810002351,0.0498036216104674,0.166717652013068,65.1306599697305,3.84109190932807,0.0500109423641742,0.166038832488657,65.1306599697305,3.84109190932807,0.0500109423641742,"N","Y"
"FPM_Time",30,600,29,600,8,30,29.7596178573586,0.17,0.173286611954871,71.0959022078093,30.3863266851612,74.9437105797782,3.84780837196887,0.0498110380515462,29.3784442221961,74.9437105797782,3.84780837196887,0.0498110380515462,0.173755313237566,74.9371395553391,3.84123734752976,0.0500066046712867,0.169670209286107,74.9371395553391,3.84123734752976,0.0500066046712867,"Y","Y"
"FPM_Time",30,600,31,600,9,30,29.6512841565044,0.17,0.173159937768599,75.9990675634563,30.5401776768248,79.8786624437745,3.87959488031825,0.0488763497490123,29.4600283924762,79.8786624437745,3.87959488031825,0.0488763497490123,0.167780565387346,79.8400937087647,3.84102614530842,0.0500129039059215,0.167271577810217,79.8400937087647,3.84102614530842,0.0500129039059215,"N","Y"
"FPM_Time",30,600,25,600,10,30,29.8485945298941,0.17,0.171361733967546,61.2895695750362,29.970094916802,65.1190302424838,3.82946066744762,0.0503591347076986,29.6584275657773,65.1190302424838,3.82946066744762,0.0503591347076986,0.173479296978218,65.1258971678947,3.8363275928585,0.0501532581173241,0.172003453104638,65.1258971678947,3.8363275928585,0.0501532581173241,"N","N"
"FPM_Time",30,600,27,600,11,30,29.6376036041755,0.17,0.174533834488044,74.5090758527526,29.8783466272663,78.3647009939746,3.85562514122201,0.0495794474154533,29.3983282938291,78.3647009939746,3.85562514122201,0.0495794474154533,0.173418577567838,78.3507205183965,3.8416446656439,0.0499944585282399,0.172806152422073,78.3507205183965,3.8416446656439,0.0499944585282399,"N","N"
"FPM_Time",30,600,26,600,12,30,29.9360757779217,0.17,0.172126430690822,63.741150453715,30.1637662049289,67.5751469019234,3.8339964482084,0.0502230480246669,29.5733457861688,67.5751469019234,3.8339964482084,0.0502230480246669,0.173662201745614,67.5803796454861,3.83922919177114,0.05006653306403,0.17229706955853,67.5803796454861,3.83922919177114,0.05006653306403,"N","Y"
"FPM_Time",30,600,31,600,13,30,29.9090228512319,0.17,0.171762210898604,75.9990638643754,30.5404154173849,79.8447261093872,3.84566224501174,0.04987482200007,29.4554294912385,79.8447261093872,3.84566224501174,0.04987482200007,0.169375736219275,79.8391343116691,3.84007044729361,0.050041418662933,0.168521491503447,79.8391343116691,3.84007044729361,0.050041418662933,"N","Y"
"FPM_Time",30,600,28,600,14,30,29.9809016520563,0.17,0.171464989041188,68.6443157921372,30.5083065644362,72.4798400888815,3.83552429674435,0.0501772956503784,29.5905585029698,72.4798400888815,3.83552429674435,0.0501772956503784,0.169144429419748,72.485444014231,3.84112822209381,0.0500098592990661,0.168150803459358,72.485444014231,3.84112822209381,0.0500098592990661,"N","Y"
"FPM_Time",30,600,18,600,15,30,29.6072562852814,0.17,0.172306308885321,44.1284893807392,30.3139585276785,47.9463978331519,3.81790845241278,0.0507074983257394,29.9729658485608,47.9463978331519,3.81790845241278,0.0507074983257394,0.169680316925312,47.9683180247305,3.83982864399136,0.0500486359683794,0.168543018646171,47.9683180247305,3.83982864399136,0.0500486359683794,"N","Y"
"FPM_Time",30,600,35,600,16,30,29.5497951559605,0.17,0.173319046493104,85.8053950010767,30.5365292629458,89.6517013822152,3.84630638113852,0.0498556688994597,29.4591703071145,89.6517013822152,3.84630638113852,0.0498556688994597,0.168471714312415,89.6468805168522,3.84148551577545,0.0499992039737561,0.167974087502766,89.6468805168522,3.84148551577545,0.0499992039737561,"N","Y"
"FPM_Time",30,600,30,600,17,30,29.8844945647798,0.17,0.169743739091135,73.5474811727403,30.3218064202085,77.3837463406018,3.83626516786151,0.0501551256634855,29.6164342513051,77.3837463406018,3.83626516786151,0.0501551256634855,0.17209102265118,77.3859887931679,3.83850762042755,0.0500880850875309,0.171681662201809,77.3859887931679,3.83850762042755,0.0500880850875309,"N","Y"
