"Bite","EstimatedTime_procNoise","CumulativeGrams_procNoise","BiteGrams_procNoise","int","quad","linear"
1,0.696020327050899,2.22107802131095,2.22107802131095,"i = -43.43","q = -0.87","l = 66.19"
2,0.722002056321861,3.90873798793876,1.68765996662781,"i = -43.43","q = -0.87","l = 66.19"
3,0.757061160344674,6.18416859514656,2.2754306072078,"i = -43.43","q = -0.87","l = 66.19"
4,0.786262295067936,8.07777367040041,1.89360507525385,"i = -43.43","q = -0.87","l = 66.19"
5,0.80719848298026,9.43451159006324,1.35673791966283,"i = -43.43","q = -0.87","l = 66.19"
6,0.847484388476707,12.0430394905083,2.60852790044502,"i = -43.43","q = -0.87","l = 66.19"
7,0.878196948327284,14.0297983538649,1.98675886335664,"i = -43.43","q = -0.87","l = 66.19"
8,0.897733204974688,15.2927240737433,1.26292571987839,"i = -43.43","q = -0.87","l = 66.19"
9,0.933901057257816,17.6290556695858,2.33633159584247,"i = -43.43","q = -0.87","l = 66.19"
10,0.968953874621598,19.8911942137101,2.2621385441243,"i = -43.43","q = -0.87","l = 66.19"
11,0.992233835045795,21.3923919639234,1.5011977502133,"i = -43.43","q = -0.87","l = 66.19"
12,1.02298761091463,23.374094080026,1.98170211610266,"i = -43.43","q = -0.87","l = 66.19"
13,1.05731438317587,25.584094225842,2.21000014581599,"i = -43.43","q = -0.87","l = 66.19"
14,1.08202777763471,27.1739077089095,1.58981348306754,"i = -43.43","q = -0.87","l = 66.19"
15,1.11902121448773,29.5517168645942,2.37780915568464,"i = -43.43","q = -0.87","l = 66.19"
16,1.14334422547361,31.1138217029531,1.56210483835892,"i = -43.43","q = -0.87","l = 66.19"
17,1.17278449060364,33.0032008689254,1.88937916597233,"i = -43.43","q = -0.87","l = 66.19"
18,1.20200909995191,34.8772529829732,1.87405211404779,"i = -43.43","q = -0.87","l = 66.19"
19,1.24133738354031,37.3968731795212,2.51962019654803,"i = -43.43","q = -0.87","l = 66.19"
20,1.26916272075091,39.1779207672407,1.7810475877195,"i = -43.43","q = -0.87","l = 66.19"
21,1.29427977001777,40.78446261152,1.60654184427925,"i = -43.43","q = -0.87","l = 66.19"
22,1.32437557202813,42.7080152621698,1.92355265064977,"i = -43.43","q = -0.87","l = 66.19"
23,1.35921745342314,44.932947994434,2.22493273226426,"i = -43.43","q = -0.87","l = 66.19"
24,1.3899771554965,46.8954507932062,1.96250279877216,"i = -43.43","q = -0.87","l = 66.19"
25,1.42565826786716,49.1698888501974,2.27443805699118,"i = -43.43","q = -0.87","l = 66.19"
26,1.44658181920086,50.5026014775382,1.33271262734079,"i = -43.43","q = -0.87","l = 66.19"
27,1.4776872833162,52.4824410749745,1.97983959743635,"i = -43.43","q = -0.87","l = 66.19"
28,1.51352640512798,54.7614935631066,2.27905248813212,"i = -43.43","q = -0.87","l = 66.19"
29,1.54578875470493,56.8111892511818,2.04969568807513,"i = -43.43","q = -0.87","l = 66.19"
30,1.57249802766183,58.5067200725543,1.6955308213725,"i = -43.43","q = -0.87","l = 66.19"
31,1.60811134592488,60.7655633980972,2.25884332554296,"i = -43.43","q = -0.87","l = 66.19"
32,1.64229025999809,62.9313579619669,2.16579456386969,"i = -43.43","q = -0.87","l = 66.19"
33,1.67023131899214,64.7003767416794,1.76901877971248,"i = -43.43","q = -0.87","l = 66.19"
34,1.70165961915912,66.6885632347658,1.98818649308637,"i = -43.43","q = -0.87","l = 66.19"
35,1.73415046392115,68.7421661603688,2.05360292560302,"i = -43.43","q = -0.87","l = 66.19"
36,1.76150893284366,70.4699541280178,1.72778796764904,"i = -43.43","q = -0.87","l = 66.19"
37,1.7866977660389,72.0595736347818,1.58961950676398,"i = -43.43","q = -0.87","l = 66.19"
38,1.82707387866717,74.6053375469722,2.54576391219042,"i = -43.43","q = -0.87","l = 66.19"
39,1.8538608828822,76.2927309570092,1.68739341003702,"i = -43.43","q = -0.87","l = 66.19"
40,1.8810157183727,78.0020247309647,1.70929377395542,"i = -43.43","q = -0.87","l = 66.19"
41,1.92118851190616,80.5284036681781,2.52637893721341,"i = -43.43","q = -0.87","l = 66.19"
42,1.94383140992409,81.9511322901086,1.42272862193057,"i = -43.43","q = -0.87","l = 66.19"
43,1.98139845857582,84.3096331653979,2.35850087528929,"i = -43.43","q = -0.87","l = 66.19"
44,2.00598083351241,85.8516167932134,1.54198362781548,"i = -43.43","q = -0.87","l = 66.19"
45,2.04239258736252,88.1336980537537,2.28208126054027,"i = -43.43","q = -0.87","l = 66.19"
46,2.07587579360102,90.2302048534727,2.09650679971904,"i = -43.43","q = -0.87","l = 66.19"
47,2.10475055096739,92.0365980429949,1.80639318952218,"i = -43.43","q = -0.87","l = 66.19"
48,2.13199604025833,93.7397387333018,1.70314069030688,"i = -43.43","q = -0.87","l = 66.19"
49,2.16048044292539,95.5189482387972,1.77920950549536,"i = -43.43","q = -0.87","l = 66.19"
50,2.19780246562833,97.8480482125342,2.32909997373702,"i = -43.43","q = -0.87","l = 66.19"
51,2.22533096187151,99.5644297806407,1.71638156810657,"i = -43.43","q = -0.87","l = 66.19"
52,2.26156576080036,101.821639053751,2.25720927310988,"i = -43.43","q = -0.87","l = 66.19"
53,2.29054947925021,103.625510314389,1.8038712606381,"i = -43.43","q = -0.87","l = 66.19"
54,2.3237608592843,105.690708725081,2.06519841069237,"i = -43.43","q = -0.87","l = 66.19"
55,2.35464119216772,107.609238,1.91852927491891,"i = -43.43","q = -0.87","l = 66.19"
1,0.687426067717952,1.72607115032033,1.72607115032033,"i = -43.43","q = -0.73","l = 66.19"
2,0.723071964195589,4.04846179774725,2.32239064742692,"i = -43.43","q = -0.73","l = 66.19"
3,0.754870084603843,6.11859143335017,2.07012963560291,"i = -43.43","q = -0.73","l = 66.19"
4,0.777346866938552,7.58098671562496,1.46239528227479,"i = -43.43","q = -0.73","l = 66.19"
5,0.809007881595689,9.63967465096492,2.05868793533997,"i = -43.43","q = -0.73","l = 66.19"
6,0.843767616112057,11.8981578365735,2.25848318560861,"i = -43.43","q = -0.73","l = 66.19"
7,0.875401059653866,13.9519736487335,2.05381581216001,"i = -43.43","q = -0.73","l = 66.19"
8,0.906046621168827,15.940251885047,1.98827823631347,"i = -43.43","q = -0.73","l = 66.19"
9,0.926176934191011,17.245553618128,1.30530173308098,"i = -43.43","q = -0.73","l = 66.19"
10,0.96187999829082,19.5591718698268,2.31361825169877,"i = -43.43","q = -0.73","l = 66.19"
11,0.993018783989183,21.5754917142503,2.01631984442354,"i = -43.43","q = -0.73","l = 66.19"
12,1.01915631458622,23.266869619102,1.69137790485167,"i = -43.43","q = -0.73","l = 66.19"
13,1.05145392313087,25.3554871804299,2.08861756132797,"i = -43.43","q = -0.73","l = 66.19"
14,1.08055916314069,27.2363511865327,1.88086400610277,"i = -43.43","q = -0.73","l = 66.19"
15,1.10945844687384,29.1026770782107,1.86632589167796,"i = -43.43","q = -0.73","l = 66.19"
16,1.13945453846083,31.0385403608155,1.93586328260482,"i = -43.43","q = -0.73","l = 66.19"
17,1.16922256675424,32.9583811255064,1.91984076469087,"i = -43.43","q = -0.73","l = 66.19"
18,1.20135670186176,35.0293621601137,2.07098103460737,"i = -43.43","q = -0.73","l = 66.19"
19,1.2396147974743,37.4930463803707,2.46368422025696,"i = -43.43","q = -0.73","l = 66.19"
20,1.26457502422435,39.0992389647426,1.60619258437188,"i = -43.43","q = -0.73","l = 66.19"
21,1.3005029038685,41.4095975098603,2.31035854511776,"i = -43.43","q = -0.73","l = 66.19"
22,1.3214295259062,42.7544213625714,1.3448238527111,"i = -43.43","q = -0.73","l = 66.19"
23,1.36163694671167,45.3365006295133,2.58207926694185,"i = -43.43","q = -0.73","l = 66.19"
24,1.38184904534867,46.6336057663611,1.29710513684781,"i = -43.43","q = -0.73","l = 66.19"
25,1.41468682714791,48.7396833672637,2.10607760090262,"i = -43.43","q = -0.73","l = 66.19"
26,1.44388712331893,50.6111401417078,1.87145677444406,"i = -43.43","q = -0.73","l = 66.19"
27,1.48397484365865,53.1783397522249,2.56719961051711,"i = -43.43","q = -0.73","l = 66.19"
28,1.51068477188687,54.8875238692894,1.70918411706456,"i = -43.43","q = -0.73","l = 66.19"
29,1.54174676566039,56.8738839566364,1.98636008734696,"i = -43.43","q = -0.73","l = 66.19"
30,1.57557283147787,59.0353928599058,2.1615089032694,"i = -43.43","q = -0.73","l = 66.19"
31,1.59647199580749,60.3700255757762,1.33463271587038,"i = -43.43","q = -0.73","l = 66.19"
32,1.62684767360832,62.3086923507408,1.93866677496464,"i = -43.43","q = -0.73","l = 66.19"
33,1.66224022086404,64.5658446844649,2.25715233372406,"i = -43.43","q = -0.73","l = 66.19"
34,1.69040045211156,66.3604458452079,1.79460116074303,"i = -43.43","q = -0.73","l = 66.19"
35,1.72945508300571,68.8474035846586,2.4869577394507,"i = -43.43","q = -0.73","l = 66.19"
36,1.75167429891569,70.2613019645998,1.41389837994122,"i = -43.43","q = -0.73","l = 66.19"
37,1.78933594900498,72.6562118043498,2.39490983975003,"i = -43.43","q = -0.73","l = 66.19"
38,1.81119423163562,74.045229629587,1.3890178252372,"i = -43.43","q = -0.73","l = 66.19"
39,1.84746214668367,76.3483843343056,2.30315470471861,"i = -43.43","q = -0.73","l = 66.19"
40,1.87308442162096,77.9743368997975,1.62595256549189,"i = -43.43","q = -0.73","l = 66.19"
41,1.91209622682142,80.4481216015646,2.4737847017671,"i = -43.43","q = -0.73","l = 66.19"
42,1.9371634444041,82.0364861933203,1.58836459175566,"i = -43.43","q = -0.73","l = 66.19"
43,1.96536137192447,83.8221249053956,1.78563871207528,"i = -43.43","q = -0.73","l = 66.19"
44,2.00562260085602,86.3696541151442,2.54752920974859,"i = -43.43","q = -0.73","l = 66.19"
45,2.03348475370262,88.1312406225528,1.76158650740862,"i = -43.43","q = -0.73","l = 66.19"
46,2.05781377143244,89.6685137564423,1.53727313388951,"i = -43.43","q = -0.73","l = 66.19"
47,2.09500885973398,92.0170756368527,2.3485618804104,"i = -43.43","q = -0.73","l = 66.19"
48,2.12010601017162,93.6006070455061,1.58353140865334,"i = -43.43","q = -0.73","l = 66.19"
49,2.16104555315651,96.1817495385163,2.58114249301023,"i = -43.43","q = -0.73","l = 66.19"
50,2.18824836036668,97.8954643139116,1.71371477539533,"i = -43.43","q = -0.73","l = 66.19"
51,2.21509174270782,99.5854727973371,1.69000848342547,"i = -43.43","q = -0.73","l = 66.19"
52,2.25180996678405,101.895472002871,2.30999920553408,"i = -43.43","q = -0.73","l = 66.19"
53,2.27905137929551,103.607993560156,1.7125215572852,"i = -43.43","q = -0.73","l = 66.19"
54,2.3129355526345,105.736591806664,2.12859824650802,"i = -43.43","q = -0.73","l = 66.19"
55,2.34190635178411,107.555198022695,1.81860621603087,"i = -43.43","q = -0.73","l = 66.19"
1,3.03841567942173,2.32004478790679,2.32004478790679,"i = -43.43","q = -0.26","l = 15.83"
2,3.17363420902652,4.24580411066995,1.92575932276317,"i = -43.43","q = -0.26","l = 15.83"
3,3.28776364017484,5.86391873223352,1.61811462156356,"i = -43.43","q = -0.26","l = 15.83"
4,3.42749793864392,7.83596006317521,1.9720413309417,"i = -43.43","q = -0.26","l = 15.83"
5,3.55368274215558,9.60817581882108,1.77221575564587,"i = -43.43","q = -0.26","l = 15.83"
6,3.73099132128662,12.0846060536638,2.47643023484268,"i = -43.43","q = -0.26","l = 15.83"
7,3.84662794560263,13.6909910860109,1.60638503234715,"i = -43.43","q = -0.26","l = 15.83"
8,3.99626945860324,15.7595813474989,2.06859026148797,"i = -43.43","q = -0.26","l = 15.83"
9,4.12913088078238,17.5865850783964,1.82700373089754,"i = -43.43","q = -0.26","l = 15.83"
10,4.28520842182829,19.7212742630833,2.13468918468685,"i = -43.43","q = -0.26","l = 15.83"
11,4.41031710314594,21.4233782941718,1.70210403108851,"i = -43.43","q = -0.26","l = 15.83"
12,4.58422405201075,23.7760485591877,2.35267026501589,"i = -43.43","q = -0.26","l = 15.83"
13,4.7050333933756,25.4012670679143,1.62521850872666,"i = -43.43","q = -0.26","l = 15.83"
14,4.85414567953451,27.3969173884971,1.99565032058277,"i = -43.43","q = -0.26","l = 15.83"
15,5.01490110462902,29.5356208241274,2.13870343563028,"i = -43.43","q = -0.26","l = 15.83"
16,5.12326337576587,30.9698034821261,1.43418265799874,"i = -43.43","q = -0.26","l = 15.83"
17,5.29977172566192,33.2930109204244,2.32320743829825,"i = -43.43","q = -0.26","l = 15.83"
18,5.44081750764887,35.1379739104743,1.84496299004995,"i = -43.43","q = -0.26","l = 15.83"
19,5.61932903551293,37.458383500628,2.32040959015369,"i = -43.43","q = -0.26","l = 15.83"
20,5.72775791100393,38.8598348660623,1.40145136543432,"i = -43.43","q = -0.26","l = 15.83"
21,5.92623475172857,41.4095431245894,2.54970825852707,"i = -43.43","q = -0.26","l = 15.83"
22,6.03684962875855,42.8217762739882,1.4122331493988,"i = -43.43","q = -0.26","l = 15.83"
23,6.22901010389741,45.2601924544393,2.43841618045114,"i = -43.43","q = -0.26","l = 15.83"
24,6.38162115592892,47.1832550133667,1.92306255892732,"i = -43.43","q = -0.26","l = 15.83"
25,6.53105541768533,49.0547126108112,1.87145759744451,"i = -43.43","q = -0.26","l = 15.83"
26,6.70723020853619,51.2463487523672,2.19163614155606,"i = -43.43","q = -0.26","l = 15.83"
27,6.81963775826294,52.6363943970442,1.390045644677,"i = -43.43","q = -0.26","l = 15.83"
28,7.01743765976439,55.0666783927701,2.43028399572589,"i = -43.43","q = -0.26","l = 15.83"
29,7.17998321331645,57.0487875775277,1.98210918475755,"i = -43.43","q = -0.26","l = 15.83"
30,7.31838470227362,58.7257992594985,1.67701168197088,"i = -43.43","q = -0.26","l = 15.83"
31,7.47306123457186,60.58839138059,1.86259212109142,"i = -43.43","q = -0.26","l = 15.83"
32,7.67062735271164,62.9496086372428,2.36121725665286,"i = -43.43","q = -0.26","l = 15.83"
33,7.78291205854327,64.2826611596979,1.33305252245509,"i = -43.43","q = -0.26","l = 15.83"
34,7.97964456189735,66.6026952551461,2.32003409544819,"i = -43.43","q = -0.26","l = 15.83"
35,8.11022851432952,68.1316901419921,1.52899488684602,"i = -43.43","q = -0.26","l = 15.83"
36,8.31987441749001,70.5681235016735,2.43643335968137,"i = -43.43","q = -0.26","l = 15.83"
37,8.50376713572406,72.6867048733243,2.11858137165079,"i = -43.43","q = -0.26","l = 15.83"
38,8.66353744280865,74.513298465816,1.82659359249166,"i = -43.43","q = -0.26","l = 15.83"
39,8.81544066458673,76.2378103746384,1.72451190882245,"i = -43.43","q = -0.26","l = 15.83"
