"Bite","EstimatedTime_procNoise","CumulativeGrams_procNoise","BiteGrams_procNoise","int","quad","linear"
1,0.690916984814757,1.8894495490554,1.8894495490554,"i = -43.43","q = -0.87","l = 66.19"
2,0.722126846775169,3.91684100666778,2.02739145761237,"i = -43.43","q = -0.87","l = 66.19"
3,0.75650843402279,6.14831170490587,2.2314706982381,"i = -43.43","q = -0.87","l = 66.19"
4,0.779934925845493,7.66758848233606,1.51927677743019,"i = -43.43","q = -0.87","l = 66.19"
5,0.808831240225726,9.54028798798438,1.87269950564832,"i = -43.43","q = -0.87","l = 66.19"
6,0.844456163774828,11.8470586289487,2.30677064096436,"i = -43.43","q = -0.87","l = 66.19"
7,0.871900012278222,13.6225904158327,1.77553178688393,"i = -43.43","q = -0.87","l = 66.19"
8,0.903421701618254,15.6603337712398,2.03774335540713,"i = -43.43","q = -0.87","l = 66.19"
9,0.932408578411702,17.5326910293834,1.87235725814358,"i = -43.43","q = -0.87","l = 66.19"
10,0.965165144964148,19.646790741931,2.11409971254759,"i = -43.43","q = -0.87","l = 66.19"
11,0.988975006186453,21.182304442782,1.53551370085099,"i = -43.43","q = -0.87","l = 66.19"
12,1.02062936787524,23.2221924368429,2.03988799406097,"i = -43.43","q = -0.87","l = 66.19"
13,1.053155805258,25.3164686355027,2.09427619865977,"i = -43.43","q = -0.87","l = 66.19"
14,1.08496971259134,27.3630919171052,2.0466232816025,"i = -43.43","q = -0.87","l = 66.19"
15,1.11058672133519,29.0097859677495,1.64669405064427,"i = -43.43","q = -0.87","l = 66.19"
16,1.14336949696652,31.1154441887882,2.10565822103874,"i = -43.43","q = -0.87","l = 66.19"
17,1.17987490969067,33.4580159422926,2.34257175350443,"i = -43.43","q = -0.87","l = 66.19"
18,1.20476674440356,35.0540127084005,1.59599676610783,"i = -43.43","q = -0.87","l = 66.19"
19,1.23465258669082,36.9687918014599,1.91477909305946,"i = -43.43","q = -0.87","l = 66.19"
20,1.27183079216559,39.3486284451974,2.37983664373749,"i = -43.43","q = -0.87","l = 66.19"
21,1.29863076622984,41.0626507184033,1.71402227320589,"i = -43.43","q = -0.87","l = 66.19"
22,1.3336641232239,43.3013693899307,2.23871867152744,"i = -43.43","q = -0.87","l = 66.19"
23,1.36412965743068,45.2464621302585,1.94509274032779,"i = -43.43","q = -0.87","l = 66.19"
24,1.39121110862573,46.9741441185954,1.72768198833683,"i = -43.43","q = -0.87","l = 66.19"
25,1.42498906539794,49.1272518812662,2.15310776267081,"i = -43.43","q = -0.87","l = 66.19"
26,1.44979588730105,50.7072522658733,1.5800003846071,"i = -43.43","q = -0.87","l = 66.19"
27,1.48273916091992,52.8038308917132,2.09657862583989,"i = -43.43","q = -0.87","l = 66.19"
28,1.51285322946677,54.7187060519814,1.91487516026825,"i = -43.43","q = -0.87","l = 66.19"
29,1.54153965485674,56.5413381377543,1.82263208577291,"i = -43.43","q = -0.87","l = 66.19"
30,1.57713880822953,58.8011951862665,2.25985704851217,"i = -43.43","q = -0.87","l = 66.19"
31,1.61013660624791,60.8939533224707,2.0927581362042,"i = -43.43","q = -0.87","l = 66.19"
32,1.63559675669736,62.5073743521415,1.61342102967084,"i = -43.43","q = -0.87","l = 66.19"
33,1.66314607235516,64.2519201035779,1.74454575143636,"i = -43.43","q = -0.87","l = 66.19"
34,1.70487640947713,66.8919640298157,2.64004392623782,"i = -43.43","q = -0.87","l = 66.19"
35,1.72895771643228,68.4140784492581,1.52211441944235,"i = -43.43","q = -0.87","l = 66.19"
36,1.76395610607686,70.6244388595821,2.21036041032404,"i = -43.43","q = -0.87","l = 66.19"
37,1.79646554003658,72.6757031896924,2.05126433011027,"i = -43.43","q = -0.87","l = 66.19"
38,1.82816714982507,74.6742303259407,1.99852713624827,"i = -43.43","q = -0.87","l = 66.19"
39,1.85428190049475,76.3192421788912,1.64501185295055,"i = -43.43","q = -0.87","l = 66.19"
40,1.8795069949086,77.9070898771743,1.58784769828313,"i = -43.43","q = -0.87","l = 66.19"
41,1.91394960486612,80.0733714426661,2.16628156549179,"i = -43.43","q = -0.87","l = 66.19"
42,1.95176873193446,82.4496501227622,2.37627868009612,"i = -43.43","q = -0.87","l = 66.19"
43,1.97324325171124,83.7978482900423,1.34819816728005,"i = -43.43","q = -0.87","l = 66.19"
44,2.01195248258223,86.2260433894247,2.42819509938241,"i = -43.43","q = -0.87","l = 66.19"
45,2.03692873200135,87.7914013907059,1.56535800128125,"i = -43.43","q = -0.87","l = 66.19"
46,2.07369839827434,90.0939292373429,2.30252784663692,"i = -43.43","q = -0.87","l = 66.19"
47,2.10957076385803,92.3380077531563,2.24407851581344,"i = -43.43","q = -0.87","l = 66.19"
48,2.1306497144762,93.6556089077973,1.317601154641,"i = -43.43","q = -0.87","l = 66.19"
49,2.17181028688148,96.2262483765256,2.5706394687283,"i = -43.43","q = -0.87","l = 66.19"
50,2.20176838134392,98.0954011993542,1.8691528228286,"i = -43.43","q = -0.87","l = 66.19"
51,2.23399104753366,100.10410796247,2.00870676311547,"i = -43.43","q = -0.87","l = 66.19"
52,2.25632494333038,101.495308638284,1.39120067581415,"i = -43.43","q = -0.87","l = 66.19"
53,2.2877794767917,103.453175542608,1.9578669043246,"i = -43.43","q = -0.87","l = 66.19"
